instance,method,cost,gap,speedup,time,intf
mc_R021606_001_c2.txt,ZS+S2,12130.5,7.2,1.087,0.533,0.0
mc_R021606_001_c2.txt,M-Lin2015,13979.7,23.55,0.943,0.485,0.0
mc_R021606_002_c2.txt,ZS+S2,11529.6,7.21,1.09,0.472,0.0
mc_R021606_002_c2.txt,M-Lin2015,13254.3,23.24,0.949,0.437,0.0
mc_R021606_003_c2.txt,ZS+S2,11742.6,2.66,1.123,0.495,0.0
mc_R021606_003_c2.txt,M-Lin2015,15763.2,37.81,0.836,0.515,0.0
mc_R041606_001_c2.txt,ZS+S2,30191.2,12.58,0.986,1.605,0.0
mc_R041606_001_c2.txt,M-Lin2015,36750.4,37.04,0.81,2.709,0.0
mc_R041606_002_c2.txt,ZS+S2,28153.6,9.59,1.013,1.284,1.0
mc_R041606_002_c2.txt,M-Lin2015,35853.4,39.57,0.796,1.553,0.0
mc_R041606_003_c2.txt,ZS+S2,28091.2,8.14,1.036,1.229,0.0
mc_R041606_003_c2.txt,M-Lin2015,33396.2,28.56,0.872,1.487,0.0
mc_R061606_001_c2.txt,ZS+S2,47633.3,10.83,1.007,2.499,0.0
mc_R061606_001_c2.txt,M-Lin2015,58948.1,37.16,0.813,3.473,0.0
mc_R061606_002_c2.txt,ZS+S2,47157.8,11.36,1.009,2.539,0.0
mc_R061606_002_c2.txt,M-Lin2015,57982.6,36.92,0.821,3.515,0.0
mc_R061606_003_c2.txt,ZS+S2,46566.9,10.4,1.027,2.523,1.0
mc_R061606_003_c2.txt,M-Lin2015,58430.4,38.53,0.819,3.584,0.0
